P_value_id,P_value_name,W_0.1%,W_0.5%,gene_biotype
ENSBTAG00000002950,TMEM132D,YES,NA,protein_coding
ENSBTAG00000020798,C3H1orf94,YES,NA,protein_coding
ENSBTAG00000005784,CSMD2,YES,YES,protein_coding
ENSBTAG00000013537,FER1L6,YES,NA,protein_coding
ENSBTAG00000048373,NA,YES,NA,protein_coding
ENSBTAG00000030718,SPATA3,YES,NA,protein_coding
ENSBTAG00000054626,NA,YES,NA,lncRNA
