"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval"
"1","Exterior",29,9077,75,163224,0.0000000000000000158421845804097,0.0000000000000000950531074824582
"2","Health",2,5889,75,163224,0.758129707594117,0.999999964736918
"3","Meat and Carcass",2,18258,75,163224,0.998573140906971,0.999999964736918
"4","Milk",13,75352,75,163224,0.999999964736918,0.999999964736918
"5","Production",14,19640,75,163224,0.0622566012547012,0.186769803764104
"6","Reproduction",15,35008,75,163224,0.664201043178851,0.999999964736918
