"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval"
"1","Exterior",4,9077,108,163224,0.856977538837623,0.999995288152074
"2","Health",1,5889,108,163224,0.981124966779923,0.999995288152074
"3","Meat and Carcass",3,18258,108,163224,0.99971089227176,0.999995288152074
"4","Milk",91,75352,108,163224,0.000000000000000242868852679811,0.00000000000000145721311607886
"5","Production",2,19640,108,163224,0.999984763537078,0.999995288152074
"6","Reproduction",7,35008,108,163224,0.999995288152074,0.999995288152074
