"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval","ID"
"1","Exterior",41,9077,128,163224,0.0000000000000000000142992975513458,0.0000000000000000000857957853080751,"Exterior - CHR"
"2","Health",6,5889,128,163224,0.316099979327507,0.604949845384851,"Health - CHR"
"3","Meat and Carcass",11,18258,128,163224,0.85975555372824,0.999999999998837,"Meat and Carcass - CHR"
"4","Milk",22,75352,128,163224,0.999999999998837,0.999999999998837,"Milk - CHR"
"5","Production",19,19640,128,163224,0.196882722200872,0.590648166602616,"Production - CHR"
"6","Reproduction",29,35008,128,163224,0.403299896923234,0.604949845384851,"Reproduction - CHR"
