"","QTL","N_QTLs","N_QTLs_db","Total_annotated_QTLs","Total_QTLs_db","pvalue","adj.pval"
"1","Meat and Carcass",4,18258,5,163224,0.000712548643457007,0.00142509728691401
"2","Production",1,19640,5,163224,0.473247607363795,0.473247607363795
